Category,Category Persian Translation,Subcategory,Subcategory Persian Translation
"Business, Management & Operations","کسب‌وکار، مدیریت و عملیات","Executive Leadership (CEO, CTO, CFO, COO, VP, Director)","رهبری اجرایی (مدیرعامل، مدیر فناوری، مدیر مالی، مدیر عملیات، معاون، مدیر)"
"Business, Management & Operations","کسب‌وکار، مدیریت و عملیات","Project & Program Management","مدیریت پروژه و برنامه"
"Business, Management & Operations","کسب‌وکار، مدیریت و عملیات","Business Operations & Process Improvement","عملیات تجاری و بهبود فرآیند"
"Business, Management & Operations","کسب‌وکار، مدیریت و عملیات","Strategy & Consulting","استراتژی و مشاوره"
"Business, Management & Operations","کسب‌وکار، مدیریت و عملیات","Human Resources (HR)","منابع انسانی"
"Business, Management & Operations","کسب‌وکار، مدیریت و عملیات","Sales & Business Development","فروش و توسعه کسب‌وکار"
"Business, Management & Operations","کسب‌وکار، مدیریت و عملیات","Marketing & Communications","بازاریابی و ارتباطات"
"Business, Management & Operations","کسب‌وکار، مدیریت و عملیات","Customer Service & Support","خدمات و پشتیبانی مشتری"
"Business, Management & Operations","کسب‌وکار، مدیریت و عملیات","Administrative & Office Support","پشتیبانی اداری و دفتری"
"Business, Management & Operations","کسب‌وکار، مدیریت و عملیات","Operations, Logistics & Supply Chain","عملیات، لجستیک و زنجیره تأمین"
"Finance, Accounting & Legal","مالی، حسابداری و حقوقی","Finance (Analyst, Manager, Controller, Advisor)","مالی (تحلیلگر، مدیر، کنترل‌کننده، مشاور)"
"Finance, Accounting & Legal","مالی، حسابداری و حقوقی","Accounting (Accountant, Auditor, Bookkeeper)","حسابداری (حسابدار، حسابرس، دفتردار)"
"Finance, Accounting & Legal","مالی، حسابداری و حقوقی","Investment & Banking","سرمایه‌گذاری و بانکداری"
"Finance, Accounting & Legal","مالی، حسابداری و حقوقی","Risk & Compliance","ریسک و انطباق"
"Finance, Accounting & Legal","مالی، حسابداری و حقوقی","Legal (Lawyer, Legal Advisor, Compliance Officer)","حقوقی (وکیل، مشاور حقوقی، افسر انطباق)"
"Healthcare & Medical","بهداشت و درمان","Doctors & Physicians","پزشکان"
"Healthcare & Medical","بهداشت و درمان","Nurses & Medical Technicians","پرستاران و تکنسین‌های پزشکی"
"Healthcare & Medical","بهداشت و درمان","Dentists & Dental Professionals","دندانپزشکان و متخصصان دندانپزشکی"
"Healthcare & Medical","بهداشت و درمان","Medical Researchers & Scientists","محققان و دانشمندان پزشکی"
"Healthcare & Medical","بهداشت و درمان","Healthcare Administration","مدیریت مراقبت‌های بهداشتی"
"Healthcare & Medical","بهداشت و درمان","Allied Health Professionals","متخصصان سلامت مرتبط"
"Education & Academia","آموزش و دانشگاه","Professors & Lecturers","استادان و مدرسان"
"Education & Academia","آموزش و دانشگاه","Teachers & Instructors","معلمان و مربیان"
"Education & Academia","آموزش و دانشگاه","Academic Researchers","محققان دانشگاهی"
"Education & Academia","آموزش و دانشگاه","Education Administration","مدیریت آموزش"
"Education & Academia","آموزش و دانشگاه","Teaching Assistants & Tutors","دستیاران آموزشی و معلمان خصوصی"
"Creative, Design & Media","خلاقیت، طراحی و رسانه","Graphic & Visual Design","طراحی گرافیک و بصری"
"Creative, Design & Media","خلاقیت، طراحی و رسانه","UI/UX & Product Design","طراحی رابط کاربری/تجربه کاربری و محصول"
"Creative, Design & Media","خلاقیت، طراحی و رسانه","Animation & Multimedia","انیمیشن و چندرسانه‌ای"
"Creative Ascendancy, Design & Media","خلاقیت، طراحی و رسانه","Architecture & Interior Design","معماری و طراحی داخلی"
"Creative, Design & Media","خلاقیت، طراحی و رسانه","Content Creation & Copywriting","تولید محتوا و کپی‌رایتینگ"
"Creative, Design & Media","خلاقیت، طراحی و رسانه","Film, Video & Photography","فیلم، ویدئو و عکاسی"
"Creative, Design & Media","خلاقیت، طراحی و رسانه","Art, Music & Performing Arts","هنر، موسیقی و هنرهای نمایشی"
"Research & Development","تحقیق و توسعه","Research Scientists","دانشمندان تحقیقاتی"
"Research & Development","تحقیق و توسعه","R&D Engineers","مهندسان تحقیق و توسعه"
"Research & Development","تحقیق و توسعه","Innovation Managers","مدیران نوآوری"
"Research & Development","تحقیق و توسعه","Lab Technicians","تکنسین‌های آزمایشگاه"
"Other/General","سایر/عمومی","Self-Employed & Freelance","خوداشتغال و فریلنس"
"Other/General","سایر/عمومی","Entrepreneurs & Founders","کارآفرینان و بنیان‌گذاران"
"Other/General","سایر/عمومی","Generalist Roles","نقش‌های عمومی"
"Other/General","سایر/عمومی","Miscellaneous/Unclassified","متفرقه/طبقه‌بندی‌نشده"
